passage_id,condition,original_word_count,rewritten_word_count,length_ratio,rewritten_sentence_count,rewritten_text_sha256,qc_status,qc_flags
AUSTEN_PRIDE_AND_PREJUDICE_002,simplify,560,542,0.967857,40,0f3588d9799731b2c28adf67e7d7dca46b7c88189923142a2e1a2ba12863ebfb,pass,
AUSTEN_PRIDE_AND_PREJUDICE_003,paraphrase,556,529,0.951439,31,c3aa6445d7b6b26ef22092e071447e40e440e04bbac8a39981c1cb1422dda9d0,pass,
AUSTEN_PRIDE_AND_PREJUDICE_003,modernize,556,489,0.879496,31,db0f673e4f1a6b1d7f9d2b84bc7cc83f0844b9510ae99c250feb746a2c20aef2,pass,
AUSTEN_PRIDE_AND_PREJUDICE_003,simplify,556,502,0.902878,34,af6914245a4c728ff72e8f55bcbb66e96c6a709dfc8f827ccb7c043d624fb7e9,pass,
AUSTEN_PRIDE_AND_PREJUDICE_004,paraphrase,550,518,0.941818,28,c6d379e7315037d693ca14c709bdf09724972c838b86b3d916ab1422fa9b8d99,pass,
AUSTEN_PRIDE_AND_PREJUDICE_004,modernize,550,524,0.952727,29,b0d61de58a6d4d7547ac48b015fbec25f2e8ed364dc5c5b09bb7293ae5363ae3,pass,
AUSTEN_PRIDE_AND_PREJUDICE_004,simplify,550,503,0.914545,29,5a9e818f18737ad439fadd53bae59ac556f8637f7ea3c353780c17a8bcf76b97,pass,
AUSTEN_PRIDE_AND_PREJUDICE_005,paraphrase,577,488,0.845754,33,233a9396bfe22f28c7a09162d72e705133d4694f01314960c307f857c84afcfe,warning,length_soft_warning
AUSTEN_PRIDE_AND_PREJUDICE_005,modernize,577,525,0.909879,32,30fd592ac315dc46515f42e05381afa29db123b1afc8da79f7e233a8715d62e2,pass,
AUSTEN_PRIDE_AND_PREJUDICE_005,simplify,577,522,0.904679,43,990320dfa804295edb96e76bcaa88d79a07cd85e470a789cbb5263c4bd6c4b38,pass,
AUSTEN_PRIDE_AND_PREJUDICE_006,paraphrase,564,487,0.863475,42,1eda09f681729ce646dd8ac35252617ad0271afe63f9a16b0da807b9ce5dbd8d,pass,
AUSTEN_PRIDE_AND_PREJUDICE_006,modernize,564,533,0.945035,44,31b981538a3c8121e04296ddfa2a80b89c4fd37d7de61a82f315c892bf85ca56,pass,
AUSTEN_PRIDE_AND_PREJUDICE_006,simplify,564,530,0.939716,45,963e3f05129f459b8cf25ca5c0be59370c6bc64d71f391f89717ef1834cac3dd,pass,
AUSTEN_PRIDE_AND_PREJUDICE_007,paraphrase,556,479,0.861511,33,54f135f470878c04b32a5f62042f839c079767f93b39c87d0adff21ebfca0316,pass,
AUSTEN_PRIDE_AND_PREJUDICE_007,modernize,556,487,0.875899,37,e0e5255ef0c6cbb98bcc4320a792bfb53f4efdd7a969d089f55c1e99775b6f5e,pass,
AUSTEN_PRIDE_AND_PREJUDICE_007,simplify,556,487,0.875899,40,7b322abaf1e4726a101b938da3cd3fd04fbaf7b515d1f9453a64f7e57caaacb5,pass,
AUSTEN_PRIDE_AND_PREJUDICE_008,paraphrase,566,543,0.959364,20,d9410f4f7b7a6616cf650789b88433b84b19d9b94ff81fc40e6f6207ed3c0f68,pass,
AUSTEN_PRIDE_AND_PREJUDICE_008,modernize,566,523,0.924028,23,d485bd28edb29885189eea9ebd071d72573ef02108f1016dd0de6b091948a4c0,pass,
AUSTEN_PRIDE_AND_PREJUDICE_008,simplify,566,517,0.913428,26,50d0808b41eabfceb6280507328b6aeed7fbc2d8240c73c473bac78cf3f6b222,pass,
AUSTEN_PRIDE_AND_PREJUDICE_009,paraphrase,577,551,0.954939,29,bcb2bef8c7f0fc5c9e7cf9369c45c3dc490814e1e080d13d288a2cd4180d0786,pass,
AUSTEN_PRIDE_AND_PREJUDICE_009,modernize,577,544,0.942808,31,87fa27d788960d4776ed5db843ebd65362efa2d421919f473344698477305064,pass,
AUSTEN_PRIDE_AND_PREJUDICE_009,simplify,577,570,0.987868,37,be48ff7339c85f13fdf68d503f784d7f87235c2998310209eb53be6888a6bb60,pass,
AUSTEN_PRIDE_AND_PREJUDICE_010,paraphrase,565,523,0.925664,28,9b71b1fef9245457f196ece97bdf2c04c849d6392b20094af2cc2f415fd8ce73,pass,
AUSTEN_PRIDE_AND_PREJUDICE_010,modernize,565,533,0.943363,29,1b89d57a895a85ddadc04ddfb459497e7137f814ff6927854e6b0ff0a2c0a3c8,pass,
AUSTEN_PRIDE_AND_PREJUDICE_010,simplify,565,503,0.890265,31,c290ba09f7bea55097396af640e74d5f946f3171d81efa33fc70a985a0634ff5,pass,
AUSTEN_PRIDE_AND_PREJUDICE_011,paraphrase,557,493,0.885099,28,b2934a944d388b86f976f593a19740516bf71614282471a4c77f450e32c3492c,pass,
AUSTEN_PRIDE_AND_PREJUDICE_011,modernize,557,513,0.921005,29,1845ea07f9083f841934c3b8e2e87765400ea45bfbed7928f4cd147c005739a2,pass,
AUSTEN_PRIDE_AND_PREJUDICE_011,simplify,557,532,0.955117,31,27094d10191ac779b2eb63d340ae82aec930f1c76dbc5cfb84a3520cdabcefb1,pass,
AUSTEN_PRIDE_AND_PREJUDICE_012,paraphrase,571,479,0.838879,22,73dc9b8d0e08e07c71e5649cd9f3f49d7ccb5b685b2c265f25e850f6c6378f18,warning,length_soft_warning
AUSTEN_PRIDE_AND_PREJUDICE_012,modernize,571,523,0.915937,24,08868377fc94523b5777076f77a5d8a787b226ced7e107c612721da9bcc54204,pass,
AUSTEN_PRIDE_AND_PREJUDICE_012,simplify,571,511,0.894921,29,1dba42f27371e3ea0adf243c0254dffdd46ac319bf1b9f699d1972d433b42536,pass,
AUSTEN_PRIDE_AND_PREJUDICE_013,paraphrase,559,516,0.923077,38,919f4006f61072affb52a65fc40fcfbf8524a3f5672e14f275c1635539b75bb5,pass,
AUSTEN_PRIDE_AND_PREJUDICE_013,modernize,559,543,0.971377,38,90b153c92a4134780c6b9e013424565fcb5e0f45be740dbad16a196d739ae9b6,pass,
AUSTEN_PRIDE_AND_PREJUDICE_013,simplify,559,482,0.862254,43,0bbf15b939a9bf70fbfd18f5a6bad3cb73e064bc9fd71ee3a181eebb80e0ee98,pass,
AUSTEN_PRIDE_AND_PREJUDICE_014,paraphrase,552,512,0.927536,38,2116f09e7d46713aee7a184359d733f8a687659b8d1afcb15ead67367c2533da,pass,
AUSTEN_PRIDE_AND_PREJUDICE_014,modernize,552,520,0.942029,38,0e73cdf60a84e7dbad2ebd77108c0010a783ebab51c7626321e29e29804979e0,pass,
AUSTEN_PRIDE_AND_PREJUDICE_014,simplify,552,492,0.891304,41,c7f06dea846619284aaeb23a44721445060ecece92fd85794349b178af037514,pass,
AUSTEN_PRIDE_AND_PREJUDICE_015,paraphrase,557,526,0.944345,22,1d8baae9ccf4f54268d2b8bf191f143ca533e3a3b413e931886985689774345e,pass,
AUSTEN_PRIDE_AND_PREJUDICE_015,modernize,557,524,0.940754,22,8f65147785602a26700b28352becab843f965ac17423b46cf9214e012ff89559,pass,
AUSTEN_PRIDE_AND_PREJUDICE_015,simplify,557,493,0.885099,25,467aca08288ab5c44ac2f2a59aa760e1766c293c97782910a415a721468e435d,pass,
AUSTEN_PRIDE_AND_PREJUDICE_016,paraphrase,577,536,0.928943,32,59ec7e53cb3db807ca51a1b0692b62043010d76e27ff08cb4def9abd33cfcc1a,pass,
AUSTEN_PRIDE_AND_PREJUDICE_016,modernize,577,600,1.039861,32,23bdee037a256c05ea99a9c85851046fd50b4453ceb12095c64fe8636c58f95c,pass,
AUSTEN_PRIDE_AND_PREJUDICE_016,simplify,577,576,0.998267,35,6e310873919bfd388ec94c2a82c8c4166e6a3f3d34c9e537e46b75d7070bd8ec,pass,
AUSTEN_PRIDE_AND_PREJUDICE_017,paraphrase,553,515,0.931284,34,751f9516f451e3074dd4c4a02ad86763ef769fb61af5adfe93645acfb0cf82d3,pass,
AUSTEN_PRIDE_AND_PREJUDICE_017,modernize,553,517,0.934901,35,d37ac88aac2d2b1adf90dbe1f38eaf7d0cb70962c3ca9b5f4e63678adc0f8916,pass,
AUSTEN_PRIDE_AND_PREJUDICE_017,simplify,553,512,0.925859,38,03fc0761cb30a9334b19acab6ddc4c2ef042e3b630f39253d9e99c4e8f64ca37,pass,
AUSTEN_PRIDE_AND_PREJUDICE_018,paraphrase,563,556,0.987567,48,7fe95675185440866af32caf35ca52c4757ecf672170e8ae6898b384db572591,pass,
AUSTEN_PRIDE_AND_PREJUDICE_018,modernize,563,563,1.0,51,99a4ca14920d4750779b3939647cc7ff22ecbd9b7be9f12b47f335e22c099776,pass,
AUSTEN_PRIDE_AND_PREJUDICE_018,simplify,563,552,0.980462,51,16ff758cd4910547c65dee51da4bf90431fdbc19c8db3448eeb75aeea177d5bb,pass,
AUSTEN_PRIDE_AND_PREJUDICE_019,paraphrase,563,487,0.865009,33,e5b56f23b442055cd33fb66aa8b09036e0f8ca86052f5cc0e1d056f41dae270d,pass,
AUSTEN_PRIDE_AND_PREJUDICE_019,modernize,563,543,0.964476,31,e3f17b07578ba116222d85796b758c2eea2adfbf39cdbc17dc20620978578a3a,pass,
AUSTEN_PRIDE_AND_PREJUDICE_019,simplify,563,536,0.952043,36,cd09cf1095509117c8879c58d23597b320916893a4ff84d749d93e5113fe770b,pass,
AUSTEN_PRIDE_AND_PREJUDICE_020,paraphrase,585,493,0.842735,19,20489e3f22bd093fc581627837546d9ebe81b42382877eff5fd09d97856a591f,warning,length_soft_warning
AUSTEN_PRIDE_AND_PREJUDICE_020,modernize,585,536,0.916239,20,60e545c397c29c1692fc3e345bc6e2b1b1eee0ac242d2e8b2036084b69702e6c,pass,
AUSTEN_PRIDE_AND_PREJUDICE_020,simplify,585,530,0.905983,24,52182b5488ce5b8c6648d7f8ca878299893d8813eca9fd936ab158a7be76e33d,pass,
AUSTEN_PRIDE_AND_PREJUDICE_021,paraphrase,576,533,0.925347,35,f766ff09e9d62043c1f7f86a002a74cbfd264a0bb12ea7379837df6e44fed6e6,pass,
AUSTEN_PRIDE_AND_PREJUDICE_021,modernize,576,555,0.963542,34,8605556dae487671d7189d0d20723aa43b3ba4a33572fe1f92bf56de257a78db,pass,
AUSTEN_PRIDE_AND_PREJUDICE_021,simplify,576,557,0.967014,43,ee7bab9f4e23a52131d475b3c14d41153884e0388e76595c4ced8f42f7bfb1e6,pass,
AUSTEN_PRIDE_AND_PREJUDICE_022,paraphrase,578,415,0.717993,20,522f4273956799121dd209803f7e44d352f1ffb08694ca62440073216629a230,warning,length_hard_warning
AUSTEN_PRIDE_AND_PREJUDICE_022,modernize,578,573,0.991349,36,d8882b24dc25389309053f5766ee12dd4e102507d56cbe9092086e4eedd5a692,pass,
AUSTEN_PRIDE_AND_PREJUDICE_022,simplify,578,545,0.942907,42,229b0e3923bc299dd1fc9dfbb32445df37787e4d5bcc7f4ce70dd3fbbcb9369e,pass,
AUSTEN_PRIDE_AND_PREJUDICE_023,paraphrase,562,525,0.934164,42,33c19c466827425bcd8ad642fffdab53b9468a49f61883cb0191940269e52b8c,pass,
AUSTEN_PRIDE_AND_PREJUDICE_023,modernize,562,558,0.992883,44,cf75e0236c7122caf5550107302c3630e79b495d6b94131541287f076654e889,pass,
AUSTEN_PRIDE_AND_PREJUDICE_023,simplify,562,563,1.001779,46,cd000f02f9b5043e9d416141d7fdd61af30837422ab6160d147375267fa7ef57,pass,
AUSTEN_PRIDE_AND_PREJUDICE_024,paraphrase,575,509,0.885217,30,7d55fadd254ace3f15c09915404d3da6c2716eafa598986da377a80eeea21f5b,pass,
AUSTEN_PRIDE_AND_PREJUDICE_024,modernize,575,551,0.958261,31,8de1f05792681b36bfec815d2126209f0e1ac30caccc114ac8fbbe4a8dd4b81c,pass,
AUSTEN_PRIDE_AND_PREJUDICE_024,simplify,575,537,0.933913,30,0b091f34aad47a491a21f69b9fabc67cb3db96f7af5a40a86eb1c56c3f96ea91,pass,
AUSTEN_PRIDE_AND_PREJUDICE_025,paraphrase,570,453,0.794737,28,de9de01324d7845b6e0d2f31ee93d95ba52a76f96a40271d02fb98c0beabdda2,warning,length_hard_warning
AUSTEN_PRIDE_AND_PREJUDICE_025,modernize,570,527,0.924561,30,9d17204f5c03704da61982746eedbf5d8ad35b6eeaf6862736363e07e5d3552a,pass,
AUSTEN_PRIDE_AND_PREJUDICE_025,simplify,570,520,0.912281,30,c7d0cbc3131ecdfeb64f9ad88b420b71590c63585e76df0f9331b9454e9d39c9,pass,
AUSTEN_PRIDE_AND_PREJUDICE_026,paraphrase,551,524,0.950998,47,ba81fa11073f6d924d2effd9fb84a010aee42fbe3ca01f454459358cdc80f10f,pass,
AUSTEN_PRIDE_AND_PREJUDICE_026,modernize,551,542,0.983666,50,65c674204b338c769668caba9dc01f400412b0918ef8ed80be1ac9a9ffb440da,pass,
